experiment,op,dimension,density,sparse_factor,buffer_size,repeat,timing_source,time_us,time_ms,selected_field,gpu_tiles,gpu_oom_backoffs,gpu_host_fallback,gpu_input_rects,gpu_scratch_bytes,tile_rows_seen,d1,d2,num_nodes,num_edges,num_spaces,num_pieces,global_index,shard_id,field_mode,block_volume
tile_sweep_publication,image,2d,sparse,5,100,1,gpu_source,2364,2.364,gpu_us,1,0,0,1,1944773088,2,2,2,1000,1000,4,1,119,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,1,1,cpu_source,4572285,4572.285,cpu_us,,,,,,,3,3,100,100,4,1,120,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,1,1,gpu_source,1036552,1036.552,gpu_us,32,104,1,32,27600001,2,3,3,100,100,4,1,121,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,2,1,cpu_source,4618562,4618.562,cpu_us,,,,,,,3,3,100,100,4,1,122,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,2,1,gpu_source,1481935,1481.935,gpu_us,16,39,1,16,53200003,2,3,3,100,100,4,1,123,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,3,1,cpu_source,4580430,4580.43,cpu_us,,,,,,,3,3,100,100,4,1,124,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,3,1,gpu_source,1410716,1410.716,gpu_us,8,14,1,8,78800005,2,3,3,100,100,4,1,125,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,4,1,cpu_source,4625566,4625.566,cpu_us,,,,,,,3,3,100,100,4,1,126,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,4,1,gpu_source,1407388,1407.388,gpu_us,8,14,1,8,104400007,2,3,3,100,100,4,1,127,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,5,1,cpu_source,4602699,4602.699,cpu_us,,,,,,,3,3,100,100,4,1,128,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,5,1,gpu_source,1411734,1411.734,gpu_us,8,14,1,8,130000009,2,3,3,100,100,4,1,129,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,7,1,cpu_source,4628071,4628.071,cpu_us,,,,,,,3,3,100,100,4,1,130,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,7,1,gpu_source,1897459,1897.459,gpu_us,4,5,1,4,181200013,2,3,3,100,100,4,1,131,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,10,1,cpu_source,4597370,4597.37,cpu_us,,,,,,,3,3,100,100,4,1,132,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,10,1,gpu_source,1921471,1921.471,gpu_us,4,5,1,4,258000019,2,3,3,100,100,4,1,133,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,15,1,cpu_source,4644763,4644.763,cpu_us,,,,,,,3,3,100,100,4,1,134,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,15,1,gpu_source,1547543,1547.543,gpu_us,2,2,1,2,386000028,2,3,3,100,100,4,1,135,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,20,1,cpu_source,4626232,4626.232,cpu_us,,,,,,,3,3,100,100,4,1,136,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,20,1,gpu_source,1547779,1547.779,gpu_us,2,2,1,2,514000038,2,3,3,100,100,4,1,137,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,25,1,cpu_source,4623602,4623.602,cpu_us,,,,,,,3,3,100,100,4,1,138,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,25,1,gpu_source,6647,6.647,gpu_us,1,0,0,1,642000048,2,3,3,100,100,4,1,139,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,30,1,cpu_source,4549240,4549.24,cpu_us,,,,,,,3,3,100,100,4,1,140,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,30,1,gpu_source,6664,6.664,gpu_us,1,0,0,1,770000057,2,3,3,100,100,4,1,141,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,40,1,cpu_source,4612992,4612.992,cpu_us,,,,,,,3,3,100,100,4,1,142,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,40,1,gpu_source,6753,6.753,gpu_us,1,0,0,1,1026000076,2,3,3,100,100,4,1,143,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,50,1,cpu_source,4556618,4556.618,cpu_us,,,,,,,3,3,100,100,4,1,144,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,50,1,gpu_source,6509,6.509,gpu_us,1,0,0,1,1282000096,2,3,3,100,100,4,1,145,1,block_random,1024
tile_sweep_publication,image,3d,dense,1,75,1,cpu_source,4600614,4600.614,cpu_us,,,,,,,3,3,100,100,4,1,146,2,block_random,1024
tile_sweep_publication,image,3d,dense,1,75,1,gpu_source,6552,6.552,gpu_us,1,0,0,1,1922000144,2,3,3,100,100,4,1,147,3,block_random,1024
tile_sweep_publication,image,3d,dense,1,100,1,cpu_source,4559764,4559.764,cpu_us,,,,,,,3,3,100,100,4,1,148,0,block_random,1024
tile_sweep_publication,image,3d,dense,1,100,1,gpu_source,6649,6.649,gpu_us,1,0,0,1,2562000192,2,3,3,100,100,4,1,149,1,block_random,1024
tile_sweep_publication,image,3d,sparse,5,1,1,cpu_source,37469096,37469.096,cpu_us,,,,,,,3,3,100,100,4,1,150,2,block_random,1024
tile_sweep_publication,image,3d,sparse,5,1,1,gpu_source,3869,3.869,gpu_us,1,0,0,1,48138234,2,3,3,100,100,4,1,151,3,block_random,1024
tile_sweep_publication,image,3d,sparse,5,2,1,cpu_source,37301807,37301.807,cpu_us,,,,,,,3,3,100,100,4,1,152,0,block_random,1024
tile_sweep_publication,image,3d,sparse,5,2,1,gpu_source,3658,3.658,gpu_us,1,0,0,1,73822437,2,3,3,100,100,4,1,153,1,block_random,1024
tile_sweep_publication,image,3d,sparse,5,3,1,cpu_source,37736497,37736.497,cpu_us,,,,,,,3,3,100,100,4,1,154,2,block_random,1024
tile_sweep_publication,image,3d,sparse,5,3,1,gpu_source,3823,3.823,gpu_us,1,0,0,1,99506639,2,3,3,100,100,4,1,155,3,block_random,1024
tile_sweep_publication,image,3d,sparse,5,4,1,cpu_source,37158653,37158.653,cpu_us,,,,,,,3,3,100,100,4,1,156,0,block_random,1024
tile_sweep_publication,image,3d,sparse,5,4,1,gpu_source,3805,3.805,gpu_us,1,0,0,1,125190842,2,3,3,100,100,4,1,157,1,block_random,1024
tile_sweep_publication,image,3d,sparse,5,5,1,cpu_source,37608129,37608.129,cpu_us,,,,,,,3,3,100,100,4,1,158,2,block_random,1024
tile_sweep_publication,image,3d,sparse,5,5,1,gpu_source,3212,3.212,gpu_us,1,0,0,1,150875044,2,3,3,100,100,4,1,159,3,block_random,1024
tile_sweep_publication,image,3d,sparse,5,7,1,cpu_source,37192567,37192.567,cpu_us,,,,,,,3,3,100,100,4,1,160,0,block_random,1024
tile_sweep_publication,image,3d,sparse,5,7,1,gpu_source,3527,3.527,gpu_us,1,0,0,1,202243449,2,3,3,100,100,4,1,161,1,block_random,1024
tile_sweep_publication,image,3d,sparse,5,10,1,cpu_source,37355167,37355.167,cpu_us,,,,,,,3,3,100,100,4,1,162,2,block_random,1024
tile_sweep_publication,image,3d,sparse,5,10,1,gpu_source,3671,3.671,gpu_us,1,0,0,1,279296057,2,3,3,100,100,4,1,163,3,block_random,1024
